timestamp,cpu_percent,memory_mb
1736912367.4057825,0.0,170.53515625
1736912368.4070632,42.2,203.73828125
1736912369.407575,48.4,208.375
1736912370.4082475,75.4,208.28515625
1736912371.4090483,92.2,208.3046875
1736912372.4097655,71.9,208.6171875
1736912373.4104326,78.1,208.55078125
1736912374.411182,70.3,208.546875
1736912375.4118989,53.1,208.546875
1736912376.4126372,59.4,209.71875
1736912377.413266,62.5,209.73046875
1736912378.4142394,82.8,209.71875
1736912379.4152846,71.9,209.73046875
1736912380.4157345,54.7,209.734375
1736912381.416637,67.2,209.71484375
1736912382.4172492,51.6,209.7109375
1736912383.4182193,64.1,209.69140625
1736912384.4193046,60.9,209.69140625
1736912385.4201653,53.1,209.8046875
1736912386.420945,68.8,209.72265625
1736912387.4222727,68.8,209.859375
1736912388.4230385,65.6,209.84375
1736912389.4240396,61.6,209.84765625
1736912390.4250693,71.9,209.87109375
1736912391.4274628,73.4,209.8515625
1736912392.4282975,70.3,209.84375
1736912393.42886,68.8,209.875
1736912394.4294686,54.7,209.87109375
1736912395.4302125,53.1,209.859375
1736912396.432482,46.9,209.796875
1736912397.433323,39.1,209.796875
1736912398.4338894,35.9,209.80078125
1736912399.4349499,71.9,209.8046875
1736912400.4358387,70.3,209.80078125
1736912401.4368634,71.9,209.8046875
1736912402.4376328,71.9,209.8203125
1736912403.4387572,62.5,209.828125
1736912404.4396737,72.3,209.796875
1736912405.4405656,64.1,209.8359375
1736912406.4416766,70.3,209.84765625
1736912407.4427114,70.3,209.84375
1736912408.4436116,68.8,209.84765625
1736912409.4448931,64.1,209.83203125
1736912410.445538,68.8,209.8515625
1736912411.4460845,75.0,209.83203125
1736912412.4468002,59.4,209.8515625
1736912413.4477544,73.4,209.8359375
1736912414.448808,62.5,210.046875
1736912415.4493563,78.1,210.28125
1736912416.4498863,70.3,210.125
1736912417.4509802,57.8,210.20703125
1736912418.451879,51.6,210.20703125
1736912419.4526348,59.4,210.15234375
1736912420.453392,67.2,210.24609375
1736912421.45439,53.1,210.21484375
1736912422.455376,58.4,210.21875
1736912423.455956,104.7,210.20703125
1736912424.4570644,100.0,210.2265625
1736912425.4582853,76.6,210.25
1736912426.4589486,89.1,210.10546875
1736912427.4595468,64.1,210.0390625
1736912428.4604964,70.3,210.08984375
1736912429.4648929,76.6,210.109375
1736912430.4659288,93.7,210.05078125
1736912431.466865,75.0,210.11328125
1736912432.4680085,76.6,210.01953125
1736912433.4686377,54.7,210.0625
1736912434.4693627,95.3,210.07421875
1736912435.4702704,85.9,210.015625
1736912436.4708507,70.8,209.91015625
1736912437.4722872,71.9,209.96875
1736912438.472953,53.1,209.9296875
1736912439.473746,70.3,209.91796875
1736912440.474691,71.9,209.99609375
1736912441.4756215,68.8,210.015625
1736912442.4763165,56.3,210.0234375
1736912443.4771285,54.7,209.99609375
1736912444.478719,87.5,209.93359375
1736912445.4796288,62.5,209.7265625
1736912446.480522,68.8,209.90234375
1736912447.481285,70.3,209.6796875
1736912448.4820783,65.6,209.39453125
1736912449.482887,62.5,209.30859375
1736912450.4834774,70.3,208.546875
1736912451.4841485,82.8,208.6171875
1736912452.484621,71.9,210.05859375
1736912453.4856577,65.6,210.05078125
1736912454.486701,70.7,210.05859375
1736912455.48766,60.9,210.03125
1736912456.4882035,71.9,210.04296875
1736912457.4890366,54.7,210.046875
1736912458.4899938,71.9,210.0546875
1736912459.4904902,65.6,209.99609375
1736912460.4913497,67.2,210.046875
1736912461.492139,70.3,209.984375
1736912462.4928129,68.8,210.47265625
1736912463.4938326,75.0,210.9765625
1736912464.494502,70.3,210.51953125
1736912465.495837,70.3,210.546875
1736912466.4967902,64.1,210.6640625
1736912467.4974446,65.6,210.66796875
1736912468.4979732,67.2,210.65625
1736912469.4990182,76.6,210.671875
1736912470.4995492,71.9,210.65234375
1736912471.500958,64.1,210.546875
1736912472.5020113,52.3,210.671875
1736912473.5028114,56.3,210.68359375
1736912474.504071,73.4,210.68359375
1736912475.5052006,59.4,210.671875
1736912476.5070264,81.2,210.66015625
1736912477.5081344,70.3,210.52734375
1736912478.5088365,70.3,210.68359375
1736912479.509823,81.2,210.6796875
1736912480.5103328,73.4,210.6640625
1736912481.5114121,65.6,210.5234375
1736912482.5120993,78.1,210.65234375
1736912483.5148082,68.8,210.65234375
1736912484.515823,65.6,210.65234375
1736912485.5165555,59.4,210.53125
1736912486.5173032,64.1,210.6640625
1736912487.5180063,52.3,210.67578125
1736912488.5186286,68.8,210.51171875
1736912489.5195353,62.5,210.66015625
1736912490.5203001,71.9,210.5390625
1736912491.5208678,67.2,210.65625
1736912492.5213685,65.6,210.65234375
1736912493.522388,78.1,210.50390625
1736912494.5231285,60.9,210.52734375
1736912495.524449,48.4,210.546875
1736912496.5262036,71.9,210.65234375
1736912497.5268419,73.4,210.6640625
1736912498.5277207,78.1,210.64453125
1736912499.5286431,70.3,210.65234375
1736912500.5296044,82.8,210.640625
1736912501.5304983,56.3,210.64453125
1736912502.5314374,82.8,210.65625
1736912503.5320776,62.5,210.62109375
1736912504.5334027,69.2,210.640625
1736912505.534678,65.6,210.5078125
1736912506.535831,82.8,210.6171875
1736912507.536479,67.2,210.6015625
1736912508.53719,68.8,210.6015625
1736912509.5396016,62.5,210.6015625
1736912510.540715,101.6,210.6015625
1736912511.5418105,75.0,210.43359375
1736912512.542249,68.8,210.59765625
1736912513.5432594,78.1,210.609375
1736912514.543762,78.1,210.625
1736912515.5441658,81.2,210.5703125
1736912516.544769,92.2,210.55859375
1736912517.5455565,53.1,210.5859375
1736912518.5463235,53.1,210.58984375
1736912519.5470817,70.3,210.55078125
1736912520.54752,64.1,210.43359375
1736912521.548942,70.8,210.55078125
1736912522.5496993,65.6,210.30859375
1736912523.5506318,71.9,210.53515625
1736912524.5517116,64.1,210.42578125
1736912525.5524535,70.3,210.50390625
1736912526.5532157,64.1,210.4453125
1736912527.5540934,71.9,210.54296875
1736912528.5551949,65.6,210.02734375
